departamento,year,month,chirps_precip_mm
Caldas,2022,1,183.37885
Caldas,2022,2,237.00356
Caldas,2022,3,417.87402
Caldas,2022,4,373.91818
Caldas,2022,5,260.4959
Caldas,2022,6,321.57263
Caldas,2022,7,239.75543
Caldas,2022,8,234.15268
Caldas,2022,9,294.3167
Caldas,2022,10,637.93915
Caldas,2022,11,354.70822
Caldas,2022,12,152.01431
Caldas,2023,1,243.70009
Caldas,2023,2,139.25366
Caldas,2023,3,347.68243
Caldas,2023,4,278.99994
Caldas,2023,5,295.59305
Caldas,2023,6,164.14215
Caldas,2023,7,138.65425
Caldas,2023,8,185.00809
Caldas,2023,9,138.24515
Caldas,2023,10,328.48163
Caldas,2023,11,259.24637
Caldas,2023,12,183.11816
Caldas,2024,1,34.932186
Caldas,2024,2,142.52235
Caldas,2024,3,124.8985
Caldas,2024,4,283.0459
Caldas,2024,5,343.12506
Caldas,2024,6,323.2316
Caldas,2024,7,148.91989
Caldas,2024,8,167.14915
Caldas,2024,9,173.78308
Caldas,2024,10,292.6436
Caldas,2024,11,299.15182
Caldas,2024,12,249.14894
Caldas,2025,1,129.97273
Caldas,2025,2,390.0967
Caldas,2025,3,301.70996
Caldas,2025,4,383.29202
Caldas,2025,5,302.97607
Caldas,2025,6,268.7821
Caldas,2025,7,78.247375
Caldas,2025,8,282.79947
Caldas,2025,9,223.83325
Caldas,2025,10,338.93958
Caldas,2025,11,288.76947
Caldas,2025,12,159.30661
Caldas,2026,1,313.21994
Caldas,2026,2,329.82736
Cauca,1981,1,145.15388
Cauca,1981,2,241.05862
Cauca,1981,3,272.6123
Cauca,1981,4,361.09207
Cauca,1981,5,373.97635
Cauca,1981,6,248.29004
Cauca,1981,7,182.74144
Cauca,1981,8,180.64789
Cauca,1981,9,162.5763
Cauca,1981,10,271.37372
Cauca,1981,11,329.2692
Cauca,1981,12,277.25583
Cauca,1982,1,278.51627
Cauca,1982,2,280.14264
Cauca,1982,3,268.07324
Cauca,1982,4,358.35364
Cauca,1982,5,338.90894
